"gamma","beta","sigma","lp__"
0.0597829825821272,4.18998043046762,0.000743915518068695,7448.25096532063
0.0584162920360937,4.69976494233466,0.000823901040514901,7457.08846100489
0.0589030909464808,4.02242245739327,0.000753539121810092,7475.4517758584
0.0587262738534935,4.74381199609998,0.000801023872549617,7453.6382183098
0.0589438716202108,4.53617090007056,0.000796059862927226,7488.222426177
0.0579024063875028,4.46197010055935,0.000852726217947777,7419.59823524349
0.0600574504276564,4.15792412093184,0.000780959854435764,7418.38086784037
0.0607133923745785,4.55946654251606,0.000816923880164943,7436.37003731674
0.0582904071719107,4.75409591866424,0.000837089338836167,7384.04232432564
0.05780191601898,4.75006022742157,0.00082791289596378,7444.56822503233
0.0611329561098976,4.29136946077957,0.000793403759283373,7429.74863487423
0.0578653356011988,4.60999072318298,0.00073693092560255,7485.86668563355
0.0559345544762708,4.55142818966291,0.000808328708457425,7449.84463773368
0.0592671134912774,4.53597455764598,0.00085226368612596,7403.97263906661
0.0618744189724748,4.33899332094372,0.000790181434963406,7456.26713410187
0.0598439454156017,4.95797668495779,0.000808182702423012,7455.18736751996
0.0614718248536532,4.56209699963196,0.000823661365770733,7439.80152894727
0.0587462585664636,4.91024774850458,0.000801566110080307,7416.10616548098
0.0603159851925681,4.48897728160784,0.000833994302142831,7454.37515371275
0.0600677291441928,4.45483601523671,0.000814886088752283,7437.24402927599
0.0595158070651824,4.32014124270987,0.000727785416294827,7444.37216269024
0.0609486719456999,4.47288981115553,0.000722637667652453,7530.76813774648
0.058871498956099,4.79298575321728,0.00078288946908521,7473.24873711595
0.0610677208583284,4.67232362574418,0.00077514947126526,7488.47647157967
0.0611633425400148,4.42820360887071,0.00081232763280891,7478.65619148859
0.0588664012796584,4.76108598507766,0.000836997231163936,7409.48087729676
0.0589282048773494,4.39372454419098,0.000794594047980228,7458.26950123163
0.0605122590485665,4.22384906316331,0.000819675197678895,7435.2565821666
0.0600199700682938,4.70264736248562,0.000801307492579496,7446.80695603873
0.0586917840519925,4.26674075793449,0.000774743252771493,7432.65320475098
0.0619879999457615,4.51516669909521,0.000810062026758017,7415.94735958492
0.0597767058352799,4.75823039056224,0.000814572212700382,7471.4809213406
0.0613607552271055,4.50837522254064,0.00080533131701825,7417.39477056001
0.0580897822531699,4.92480715608462,0.000764385951606732,7499.7802780101
0.0589455679595608,5.09680469726782,0.000751634247342083,7463.10887342808
0.0593840245996262,4.48670148498416,0.000899105917290297,7391.25675671163
0.0603915401745049,4.62948846720846,0.000784987522973392,7467.86642004876
0.0604396727247175,4.6981297933449,0.000786625383226906,7480.9342600672
0.0606872059290424,4.07893087520148,0.000789103351388233,7457.26935041734
0.058849142196516,4.59677366195352,0.000813195332849817,7470.38175571283
0.0599860646617393,4.45840729915967,0.000763744696393413,7453.25520596097
0.0591527908324527,4.32051839452489,0.000762474779148418,7513.36709557511
0.0618840810037736,4.38827209090834,0.000746995986348965,7481.48369301436
0.0600894274091608,4.47048142411832,0.000836374727209414,7431.59681034667
0.0620267513455042,4.23553668419628,0.000774083412515431,7522.28541194144
0.0569326440738287,5.06442643879254,0.000751421472204138,7482.09245060868
0.0585246884034795,4.42659148595839,0.000825368163030225,7441.33094030003
0.0588959519034124,4.75791660264674,0.000764686672459403,7479.07532691417
0.0586637248181853,4.41155769332211,0.000755889127113082,7442.92259173041
0.0587223675682877,4.3178319408433,0.000782961778494199,7446.54696974305
0.061737383424948,4.24721303440686,0.000758798789464034,7426.68132852953
0.0585541468541728,4.56908270384437,0.000824480586854621,7413.80525596452
0.0600159449723938,4.58600057282219,0.000841457218181191,7429.13978953037
0.0586155533152516,4.84333184759194,0.000829979954767323,7420.13597178593
0.0596917776490157,4.85318986171513,0.000801180574286829,7450.22772539788
0.0605920969085002,4.30849151086146,0.000780126599985455,7460.9005922767
0.0607572669140761,4.09279559530385,0.000791600338990816,7432.44638217955
0.0593119335227639,4.41938161580175,0.000747109736402077,7470.9818673305
0.058717481219368,4.54887414010955,0.000779753101857704,7463.13649422121
0.06065690644496,4.3683306504892,0.000773860229775878,7455.76828189248
0.0600791011402023,4.51099182000366,0.000802753848598963,7487.15645761589
0.0597921398388685,4.17019063249422,0.000756362189403096,7457.61140151825
0.0576941051220691,4.57353180691939,0.000845386289824324,7419.95525217736
0.0599239978892885,4.7067615355104,0.000782666862726899,7483.26692508915
0.0593721634470174,4.7214004818795,0.000808924420230773,7436.21044245096
0.0590052227082013,4.60920438080421,0.000771722209859517,7496.21089151034
0.063470481740931,4.11941298027867,0.000768133341731119,7422.4704071014
0.0589456763267506,4.38204918697399,0.000793118833264992,7446.91571139895
0.0595654017331392,4.34292641934227,0.000768784651932654,7480.23808782217
0.0599979176457113,4.53869557112616,0.000745220614556636,7466.04226394691
0.0599358381787773,4.89260516178534,0.000801825044276397,7484.80650042118
0.0605431999791815,4.44492586661235,0.000729544853999455,7476.32462533782
0.0588556951809949,4.72314666296795,0.000773110615898817,7436.1048695581
0.061950267967384,4.72833185391974,0.000780863733436922,7508.32032792321
0.059541066168979,4.2915437316805,0.000807273373197558,7392.68052026705
0.0588033857037441,4.28848179274267,0.00077060813659811,7471.68391896801
0.0622728889989951,3.84727106085842,0.000775423409988592,7425.70692014821
0.0597753368914337,4.77298087330163,0.00077310504552445,7488.29076661882
0.0598708632164177,4.23587349236803,0.000817392520699721,7428.18738699055
0.0596781115609218,4.81609446861149,0.000837138496530797,7403.86006720507
0.0605854001470815,4.39609646427263,0.000828666831673437,7446.04330323211
0.0599891275039574,4.52274424634949,0.000854983804074871,7447.7892752694
0.0608291129676897,4.09994231347425,0.00081185713199316,7421.0569780763
0.0599009957956208,4.45520291346177,0.000811273420830767,7447.22334781019
0.0585495139772792,4.63208587991262,0.000785843204818364,7441.32878518944
0.0607999572572786,4.15295377500012,0.00076614909508435,7441.41056936188
0.0570964455412614,4.8144379546653,0.000818507245784034,7430.19293589379
0.0587881523014531,4.8249312675097,0.000720487968504119,7478.17808583883
0.0597176440590278,4.57395454307611,0.000771101300199181,7504.426714213
0.0589357377608543,4.30286217599548,0.000767121227106935,7476.70469707692
0.0602607389256596,4.5664672460327,0.000794426049496789,7472.09351998248
0.0595192972267999,4.2709894898321,0.000803429639807985,7455.99777062401
0.0615001453373469,4.24108833259813,0.000735197927478421,7500.98139008747
0.0596824294481642,4.13649745514306,0.00071570132505514,7481.19723836907
0.0586110684464299,4.63016800864287,0.000782809634963071,7508.1568754839
0.0579924605181615,4.69690559142556,0.000824422894778509,7387.02584921385
0.0592067352989634,4.65169188261873,0.000799534979935742,7477.80205235013
0.0598693753338773,4.61959541202813,0.000855920434176226,7423.26401944587
0.0587484738398558,4.50813833361323,0.000792800522646548,7460.07209932297
0.0582693950871503,4.5392743396222,0.000785852401368468,7440.95374749058
0.058728081729833,4.78709318899407,0.000788990731910429,7462.72775941632
0.0598548946382274,4.50096229267272,0.000815500180465406,7420.98115489253
0.0610838584350472,4.19071915434488,0.000810078713303637,7440.33579298045
0.0599550163231094,4.1872475339869,0.000791085817621905,7402.51041286937
0.0579642091538446,4.72785355182846,0.000742041903255536,7496.99458166536
0.0585445605554154,4.90464277964396,0.00073448693966342,7540.16473064408
0.0602437008621479,4.31663218820759,0.000777909203755751,7483.54896982576
0.0617375988867247,4.3840301810653,0.000800017141537234,7441.8894263932
0.0583366952264181,4.67517132187281,0.000855473310504712,7450.54829850235
0.0609124709768769,4.52871068339547,0.00076399782330834,7454.72092832345
0.06029283075898,4.3727659023733,0.000818036403123045,7455.44390499079
0.059511172188034,4.37243972676451,0.000850940410732772,7413.88442074225
0.059590282784532,4.72023562404453,0.000882014123357815,7395.6844340506
0.0597112986411027,4.11084821253719,0.000759281758852089,7452.34198116803
0.0590180733207063,4.64765555008415,0.000832014800164866,7457.80473954284
0.0601542116207178,4.6970403518577,0.000789148600636252,7465.09524108816
0.0603439008215222,4.6100959667801,0.000841600108779297,7457.06127871465
0.0586852936472558,4.67534431223486,0.000789107665358615,7445.49336840453
0.0589846009910742,4.47141884261305,0.000824923266991972,7421.8477510966
