"gamma","beta","sigma","lp__"
0.0238656430709193,15.8227464043958,0.00244481844588667,7342.24074383969
0.0236763427036694,15.5847520311967,0.00249506041521253,7340.21671811113
0.0239236274932545,15.7046105108785,0.00228157162479427,7416.57380878642
0.023796705337431,15.3726390208355,0.00241323871834492,7356.22277254944
0.0237618115330236,15.5508411341938,0.00216665697264022,7339.48607293188
0.0243640505860991,14.7458728276613,0.00246418776331239,7317.39615656048
0.0244270967228421,15.6912170420511,0.00238923563875916,7310.66138133873
0.0239468677833283,15.900678544715,0.00221339062620386,7405.28051887298
0.024004050389392,14.7744623369721,0.00230310517236843,7338.52788742514
0.023911014573309,14.7730090134759,0.00243137045339863,7325.85994215284
0.0236376471615244,15.0908643047402,0.00254462732848185,7279.94076288825
0.024055890029661,14.1080796851687,0.00249203201838118,7328.88104324901
0.0241776449729642,15.2111383296444,0.00238128305609572,7286.17830336379
0.0245759008721235,15.1769550161816,0.00237574380615458,7346.41537620811
0.0232039588028555,15.7332124622318,0.00247308308356959,7327.39537015901
0.0237463159582397,15.8460459946102,0.00246240232580568,7307.54247087008
0.0241501644088268,15.8586391955845,0.00240173155388152,7326.99580338373
0.0239071640216569,14.9463985995797,0.00238217337137887,7345.35936281804
0.0243705386546713,14.9934378320343,0.00241917369333784,7346.86997702798
0.0237301585781986,15.1057787951274,0.00247133410499369,7360.44442980078
0.0239391446016656,15.1686339883237,0.00245024574591396,7322.88228736405
0.0245978469880295,14.0293047084046,0.00242873476590772,7356.22605801097
0.0243133985637191,14.9243299522342,0.00254891754917924,7315.26722189965
0.0235905081347153,14.1805592528655,0.00237625987516051,7362.54488058254
0.0235150374183883,15.2068762887034,0.00236135963366098,7342.14724264671
0.024259603490291,14.668654401989,0.00232635277174306,7295.73065701803
0.0244736205589675,14.323870707058,0.00234581389228249,7317.48042904696
0.0241444342707859,14.4627029521322,0.00225017663407571,7369.06608232981
0.0244427749145694,14.4310927826734,0.00225497517967354,7331.69077869148
0.0245421332553001,13.6105883564437,0.0023948404932527,7337.51436244403
0.0237708712879316,16.2846472844929,0.00236667616157871,7313.36293589473
0.02371880179755,15.4021051468205,0.00234093010069786,7307.39106867495
0.0241539852139347,13.683645759998,0.0023711471108521,7344.272129917
0.0242177663520563,14.3906252952362,0.00240480896708859,7292.50454769415
0.0242004764545971,14.5413347107629,0.00232711809296177,7341.91979252136
0.0240643870060937,15.5191360678483,0.00233801319085437,7334.41069155523
0.0231259836817139,16.6645441471919,0.00237799408516269,7327.17566085997
0.0232127771203641,15.3546826229002,0.00256672725376122,7361.73829743533
0.0235977332398215,15.2162874246353,0.00238544918176594,7370.9184641753
0.0240528642359142,13.8327563690675,0.00229621872733704,7310.36215308316
0.0240180048562545,15.1147613113949,0.00240294387533973,7360.61994505896
0.0237440028330529,15.6990810472501,0.00233345343137209,7359.68268654037
0.0247663337220208,14.8871607624195,0.00249226390558212,7336.09875269351
0.0237510056169674,14.6999966391861,0.00238413118285508,7340.04442821116
0.0237179616222389,15.501430821825,0.00251731121468582,7318.23880081922
0.0245991114054781,14.1004081002315,0.00242654001310172,7354.83383598269
0.02384636156681,15.7884217746945,0.00252551809101486,7318.45347751798
0.0237130847574124,15.5680231960494,0.00229491598679687,7339.03720892884
0.0243292931463289,14.6588646697415,0.00233146167381869,7337.57373555955
0.0239283885252671,15.3701953386177,0.00239146340046552,7330.89214238159
0.0245342724141381,14.226016486954,0.00229762415663976,7317.76264093537
0.0243252304745816,15.0022547972099,0.00233677343289137,7299.21088171031
0.0242103886287346,14.9878799338966,0.00237000504461267,7363.19134256878
0.0240811031539474,14.6622143543854,0.00248170016034177,7290.77160574395
0.02390816270834,15.8203002241695,0.00221586908280445,7406.18986787747
0.0237338117526017,15.5115125179234,0.00252175956269126,7338.57254807803
0.0240909108528878,15.5236115769959,0.00236883880030826,7331.16577068774
0.0242526190421307,15.3131516129193,0.00236004676053189,7394.13168957715
0.0240828809641234,14.2594628691375,0.0024297538120601,7323.76055769231
0.0239632656743296,16.1455112109615,0.00229099942272252,7371.72255111683
0.0236737115133394,14.4381205414734,0.00239677729226604,7371.1200825004
0.0243458972466958,13.5648651426452,0.00244809865007371,7288.78108092719
0.0231986318147116,13.6306632053014,0.00238223019567101,7295.65471481169
0.0234406422569113,16.73361163084,0.00240106761228877,7371.80661596324
0.023448115588072,16.5196246207284,0.00233460216833387,7395.94511436559
0.0243802723994481,14.7040066622316,0.00234025763296023,7375.00398193585
0.0235759997011685,14.4543459780536,0.00231034798116412,7285.1058954982
0.0238260145109636,16.2022306114703,0.0024239186352711,7331.18489191728
0.0237338393241827,13.5961592885676,0.00226545826449418,7325.60905797008
0.0237930896893073,14.07114949624,0.00238048617001371,7327.81724620557
0.0234761193417946,14.6830555902127,0.00241117753837787,7340.62508876686
0.0241763296863372,14.7588463895151,0.00248997310950364,7311.53873132574
0.0244278656976945,15.0744380665208,0.00236347770192783,7386.64191774301
0.0243731536708238,17.1532741173379,0.00245104951171238,7325.15518396271
0.0246137999357889,14.9192444945147,0.0022662637990421,7363.15194489206
0.0242968711433599,14.3101521180791,0.00237005562827095,7324.49124196098
0.024261126169246,14.765833514871,0.00226661557627873,7357.9767530583
0.0240907010670392,14.7249061564114,0.00240417643097643,7320.13811163969
0.0237893035554382,14.5793591824546,0.00229804861430729,7352.90976554378
0.0237260006618321,14.0068705680141,0.00240441966293118,7312.76163445037
0.0243457274738512,13.5103698179245,0.00236720840369815,7330.12862698752
0.0240786613332419,16.9358235063248,0.0024407685309259,7373.10432342802
0.0230667399157717,16.8816557895232,0.00236885459301997,7357.43969476009
0.0237239472099359,14.5183622742082,0.00235178130860378,7337.64106634934
0.0237390970566404,17.0050869819532,0.00255532919972137,7326.73504458184
0.0237982783165766,15.0589517915846,0.00242148915168785,7327.85918224006
0.0244333610234393,14.5792123358244,0.00236289326672324,7323.17763075542
0.0244282839543306,14.646579037037,0.00231730700942951,7363.0512675824
0.0240743473679076,15.401821983418,0.00233085350037385,7369.36000856702
0.0238325656351068,15.7753319832749,0.00248224334443465,7303.46365238262
0.0240788442993773,15.9665175497337,0.00243035399167065,7336.5035510759
0.0239125014583566,15.9166840400188,0.00236914384649854,7392.0702339852
0.0240972237647296,15.0440733821579,0.00237793429928322,7323.02111986079
0.0246554927637975,14.8377509377318,0.00235894202096333,7342.91670663247
0.0245506547086286,14.5435468153895,0.00240456492360738,7338.04700742374
0.0238072956044962,15.4262087260136,0.00236196999120233,7363.11154769501
0.0238276959947292,15.6438471031227,0.00223288226900358,7331.22506039728
0.0241304830322019,15.6822012725608,0.00235824490862173,7341.02856657846
0.0234222942859914,15.8908573633448,0.00246877412427577,7359.496953551
